Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2017-11-09 00:00:00+00:00,0.02516,0.03506,0.025006,0.032053001,18716200,,0.006897003,,183508.3068
2017-11-10 00:00:00+00:00,0.032219,0.033348002,0.026450999,0.027119,6766780,-15%,0.003974998,-0.167156225,151787.5201
2017-11-11 00:00:00+00:00,0.026891001,0.029658999,0.025684001,0.027437,5532220,1%,0.005361,0.011657878,174558.5543
2017-11-12 00:00:00+00:00,0.027480001,0.027952,0.022591,0.023977,7280250,-13%,0.002805,-0.13479743,114056.9031
2017-11-13 00:00:00+00:00,0.024364,0.0263,0.023495,0.025807999,4419440,8%,0.001445999,0.073589445,79563.1967
2017-11-14 00:00:00+00:00,0.025797,0.026788,0.025342001,0.02623,3033290,2%,0.002512,0.016219311,181380.966
2017-11-15 00:00:00+00:00,0.026116,0.027773,0.025261,0.026445,6858800,1%,0.002516002,0.008163311,134814.6254
2017-11-16 00:00:00+00:00,0.026582999,0.028170001,0.025653999,0.02758,4888130,4%,0.002251999,0.042023768,92238.21651
2017-11-17 00:00:00+00:00,0.027143,0.027435999,0.025184,0.025773,3578870,-7%,0.002374001,-0.06776344,77275.67295
2017-11-18 00:00:00+00:00,0.025597,0.027122,0.024747999,0.026369,2930550,2%,0.002897,0.022861645,132698.3089
2017-11-19 00:00:00+00:00,0.026242999,0.028478,0.025581,0.028084001,4725050,7%,0.004687998,0.063010977,478395.7482
2017-11-20 00:00:00+00:00,0.028152,0.032299999,0.027612001,0.029580999,16172400,5%,0.002305001,0.051932175,165356.2607
2017-11-21 00:00:00+00:00,0.029587001,0.029709,0.027403999,0.02833,5836790,-4%,0.001142999,-0.043210916,140988.6705
2017-11-22 00:00:00+00:00,0.028399,0.029034,0.027891001,0.028549001,4938480,1%,0.001234001,0.00770063,140850.8361
2017-11-23 00:00:00+00:00,0.02854,0.028678,0.027443999,0.027443999,5132300,-4%,0.001634,-0.039474416,156167.6977
2017-11-24 00:00:00+00:00,0.027406,0.028596999,0.026962999,0.028382,5502350,3%,0.002700001,0.033607613,187445.7438
2017-11-25 00:00:00+00:00,0.028324001,0.030447001,0.027747,0.030447001,6156460,7%,0.009737,0.070232359,1109110.597
2017-11-26 00:00:00+00:00,0.030437,0.039855,0.030118,0.036332,30527100,19%,0.020507999,0.176711396,3934986.737
2017-11-27 00:00:00+00:00,0.036619,0.057126999,0.036619,0.050593,77777296,39%,0.083781004,0.331114331,28779034.19
2017-11-28 00:00:00+00:00,0.050627001,0.131730005,0.047949001,0.119744003,240338000,137%,0.065470002,0.861542929,18896852.82
2017-11-29 00:00:00+00:00,0.118234999,0.146906003,0.081436001,0.089717999,210624992,-25%,0.033373005,-0.288684749,14906851.76
2017-11-30 00:00:00+00:00,0.094930001,0.128303006,0.094930001,0.119883001,124345000,34%,0.018321007,0.289844869,9675073.591
2017-12-01 00:00:00+00:00,0.116622001,0.131352007,0.113031,0.131352007,73657600,10%,0.009736999,0.09136452,7505969.096
2017-12-02 00:00:00+00:00,0.131632999,0.138869002,0.129132003,0.132350996,56712600,1%,0.014274999,0.007576658,6123608.186
2017-12-03 00:00:00+00:00,0.132350996,0.139219999,0.124945,0.131806999,46458900,0%,0.019595995,-0.00411873,10379476.31
2017-12-04 00:00:00+00:00,0.131546006,0.145945996,0.126350001,0.135869995,76392704,3%,0.009627,0.030359786,6422985.778
2017-12-05 00:00:00+00:00,0.135625005,0.136403993,0.126776993,0.127488002,50381100,-6%,0.018968999,-0.063676251,8919092.579
2017-12-06 00:00:00+00:00,0.126747996,0.132854998,0.113885999,0.117839001,75688800,-8%,0.018674999,-0.078702964,7493166.609
2017-12-07 00:00:00+00:00,0.117766,0.124176003,0.105501004,0.105501004,71024600,-10%,0.021589995,-0.110598825,8093218.966
2017-12-08 00:00:00+00:00,0.106141999,0.120725997,0.099136002,0.115465,70092400,9%,0.025099002,0.090246984,7572278.211
2017-12-09 00:00:00+00:00,0.114744999,0.138659999,0.113560997,0.119608998,63308600,4%,0.019661002,0.035260619,5114457.732
2017-12-10 00:00:00+00:00,0.119794004,0.119794004,0.100133002,0.110280998,46376600,-8%,0.012744993,-0.081196437,4796315.566
2017-12-11 00:00:00+00:00,0.108926997,0.121382996,0.108638003,0.121382996,39513900,10%,0.023786,0.095919167,8041065.069
2017-12-12 00:00:00+00:00,0.121177003,0.138007998,0.114221998,0.133891001,60056800,10%,0.019486003,0.098075241,8268352.267
2017-12-13 00:00:00+00:00,0.133738995,0.141854003,0.122368,0.134280995,61575000,0%,0.108909994,0.002908538,74466588.55
2017-12-14 00:00:00+00:00,0.133667007,0.240752995,0.131843001,0.240752995,309307008,79%,0.046177,0.583836909,44254059.36
2017-12-15 00:00:00+00:00,0.233208999,0.233208999,0.187031999,0.213467002,207311008,-11%,0.242959007,-0.120289228,235131416.5
2017-12-16 00:00:00+00:00,0.212874994,0.447192013,0.204233006,0.404664993,581052032,90%,0.214403987,0.639577284,322244243.1
2017-12-17 00:00:00+00:00,0.386774987,0.592417002,0.378013015,0.513010979,628142976,27%,0.059092998,0.237237699,131344027.1
2017-12-18 00:00:00+00:00,0.511938989,0.526495993,0.467402995,0.518198013,253463008,1%,0.088505984,0.010060187,148560406.5
2017-12-19 00:00:00+00:00,0.520268023,0.589589,0.501083016,0.531273007,279631008,3%,0.09208399,0.024918593,88928687.35
2017-12-20 00:00:00+00:00,0.533704996,0.533704996,0.441621006,0.48615101,182924000,-8%,0.067092001,-0.088756731,77854352.51
2017-12-21 00:00:00+00:00,0.490049005,0.523618996,0.456526995,0.477851003,162926000,-2%,0.185333014,-0.017220321,61468653.69
2017-12-22 00:00:00+00:00,0.478974015,0.478974015,0.293641001,0.40715,150972992,-15%,0.057800978,-0.160117307,36792509.8
2017-12-23 00:00:00+00:00,0.414420009,0.450367987,0.392567009,0.414027005,88865000,2%,0.06962198,0.016749533,26277153.23
2017-12-24 00:00:00+00:00,0.416660994,0.416660994,0.347039014,0.390029013,67372304,-6%,0.076893001,-0.059710073,50877060.54
2017-12-25 00:00:00+00:00,0.392329991,0.439700007,0.362807006,0.416363001,122194000,7%,0.024477989,0.06533635,40659615.49
2017-12-26 00:00:00+00:00,0.413572997,0.430085987,0.405607998,0.428465009,94896000,3%,0.029728979,0.028651597,33990389.47
2017-12-27 00:00:00+00:00,0.427107006,0.430826992,0.401098013,0.414175987,82067504,-3%,0.051046998,-0.033918103,33539032.37
2017-12-28 00:00:00+00:00,0.412019998,0.418933988,0.36788699,0.407700986,82263800,-2%,0.152933985,-0.015756945,141006851.3
2017-12-29 00:00:00+00:00,0.410456985,0.556878984,0.403944999,0.529299021,266403008,30%,0.305828988,0.261019501,412411441
2017-12-30 00:00:00+00:00,0.528316021,0.777384996,0.471556008,0.639243007,645155968,21%,0.112149001,0.188731145,220188523.4
2017-12-31 00:00:00+00:00,0.642580986,0.75444603,0.642297029,0.719694972,305947008,13%,0.058109999,0.118542798,109434081.3
2018-01-01 00:00:00+00:00,0.718846977,0.730050981,0.671940982,0.728657007,150186000,1%,0.096790016,0.012375651,226724842.6
2018-01-02 00:00:00+00:00,0.724676013,0.794646025,0.697856009,0.782586992,289712000,7%,0.307092011,0.071401965,709766380.1
2018-01-03 00:00:00+00:00,0.779681027,1.085669994,0.778577983,1.079660058,657398016,38%,0.28955996,0.321796421,661152253.6
2018-01-04 00:00:00+00:00,1.094030023,1.327209949,1.037649989,1.114120007,593430016,3%,0.348916948,0.031418631,507875920.3
2018-01-05 00:00:00+00:00,1.171149969,1.252419949,0.903503001,0.999558985,508100000,-10%,0.124827028,-0.108505974,305695265.9
2018-01-06 00:00:00+00:00,0.996999979,1.054010034,0.929183006,1.027150035,297615008,3%,0.052568972,0.027229123,227993100.5
2018-01-07 00:00:00+00:00,1.024150014,1.043959975,0.991391003,1.008520007,226067008,-2%,0.235000968,-0.018304094,237750965
2018-01-08 00:00:00+00:00,0.999328971,0.999328971,0.764328003,0.899002016,264460992,-11%,0.123258948,-0.114953919,170682136.8
2018-01-09 00:00:00+00:00,0.898185015,0.919435978,0.79617703,0.814742982,209492000,-9%,0.139416992,-0.098412573,187550904.4
2018-01-10 00:00:00+00:00,0.815872014,0.816251993,0.676835001,0.79312098,236472000,-3%,0.219022036,-0.026896934,157647033.4
2018-01-11 00:00:00+00:00,0.791522026,0.791522026,0.57249999,0.688412011,229000992,-13%,0.272301972,-0.141588258,328303955.2
2018-01-12 00:00:00+00:00,0.695769012,0.932268977,0.659967005,0.897508025,365795008,30%,0.132839024,0.26523455,276920899.8
2018-01-13 00:00:00+00:00,0.917410016,0.969325006,0.836485982,0.884123981,313215008,-1%,0.132447004,-0.015024759,128933131.8
2018-01-14 00:00:00+00:00,0.881960988,0.881960988,0.749513984,0.802262008,160712000,-9%,0.107092976,-0.097162055,757559704
2018-01-15 00:00:00+00:00,0.795760989,0.884505987,0.777413011,0.778586984,972993024,-3%,0.300677001,-0.02995453,1022843749
2018-01-16 00:00:00+00:00,0.780620992,0.780620992,0.479943991,0.626492977,1632649984,-20%,0.237896979,-0.217343153,1078136111
2018-01-17 00:00:00+00:00,0.624122977,0.678516984,0.440620005,0.629101992,1713769984,0%,0.119480014,0.004155829,848221645.7
2018-01-18 00:00:00+00:00,0.631295025,0.711008012,0.591527998,0.659843028,1285490048,5%,0.072584033,0.047708577,380264212.5
2018-01-19 00:00:00+00:00,0.649544001,0.688520014,0.615935981,0.650497973,584574016,-1%,0.078598023,-0.014263788,522707659.8
2018-01-20 00:00:00+00:00,0.656563997,0.726242006,0.647643983,0.707509995,738798976,9%,0.115597963,0.084013575,519797283
2018-01-21 00:00:00+00:00,0.706390977,0.706390977,0.590793014,0.613162994,847731008,-13%,0.109596014,-0.14312096,298340404.1
2018-01-22 00:00:00+00:00,0.614983022,0.631484985,0.521888971,0.570457995,522984000,-7%,0.072218001,-0.072191258,211690679.7
2018-01-23 00:00:00+00:00,0.566537023,0.592230976,0.520012975,0.563069999,375958016,-1%,0.091255963,-0.013035586,429222731.6
2018-01-24 00:00:00+00:00,0.563368976,0.636008978,0.544753015,0.622207999,689838016,11%,0.061462998,0.099870488,417440648.7
2018-01-25 00:00:00+00:00,0.629337013,0.683022976,0.621559978,0.637494981,654814016,2%,0.086629986,0.024271964,504978057
2018-01-26 00:00:00+00:00,0.633903027,0.652848005,0.566218019,0.623381972,810062016,-2%,0.037687004,-0.022386956,204362310.2
2018-01-27 00:00:00+00:00,0.623476982,0.632956028,0.595269024,0.616832972,331308992,-1%,0.06138599,-0.010561171,217940801
2018-01-28 00:00:00+00:00,0.62055999,0.68194598,0.62055999,0.670286,325145984,9%,0.048612952,0.08310621,148520729.2
2018-01-29 00:00:00+00:00,0.669372976,0.669372976,0.620760024,0.623203993,238318000,-7%,0.101381004,-0.072830585,191287618.9
2018-01-30 00:00:00+00:00,0.624799013,0.624799013,0.523418009,0.531912982,359622016,-15%,0.078915029,-0.158393993,262723537.8
2018-01-31 00:00:00+00:00,0.527598023,0.55025202,0.471336991,0.519315004,505904000,-2%,0.123277009,-0.023969265,251157955.6
2018-02-01 00:00:00+00:00,0.515911996,0.535322011,0.412045002,0.421671987,595624000,-19%,0.144726009,-0.208282913,561904238.4
2018-02-02 00:00:00+00:00,0.419459999,0.419459999,0.27473399,0.390534014,1438809984,-7%,0.170824022,-0.076712661,616345159.2
2018-02-03 00:00:00+00:00,0.400965005,0.501639009,0.330814987,0.438836008,1404499968,12%,0.110316992,0.116610716,309038636.9
2018-02-04 00:00:00+00:00,0.433865011,0.480140001,0.369823009,0.379303008,814753984,-14%,0.079876989,-0.145790406,215589507.5
2018-02-05 00:00:00+00:00,0.385044008,0.39952299,0.319646001,0.327371001,658547968,-14%,0.112195998,-0.147241292,494873727.6
2018-02-06 00:00:00+00:00,0.331209004,0.378719002,0.266523004,0.369753003,1338390016,13%,0.044711978,0.121741136,231416811.7
2018-02-07 00:00:00+00:00,0.367267013,0.377218992,0.332507014,0.340447009,679744000,-8%,0.030681998,-0.082575737,123514643
2018-02-08 00:00:00+00:00,0.344464004,0.367504001,0.336822003,0.356584013,346383008,5%,0.051221997,0.046310386,157138533.3
2018-02-09 00:00:00+00:00,0.352847993,0.394133002,0.342911005,0.39160201,401271008,10%,0.077398002,0.093676171,386318698.2
2018-02-10 00:00:00+00:00,0.386671007,0.462765992,0.38536799,0.405871987,951824000,4%,0.041572004,0.035791763,122742603.3
2018-02-11 00:00:00+00:00,0.405104011,0.405196011,0.363624007,0.369769007,331944000,-9%,0.020711988,-0.093159302,93403539.76
2018-02-12 00:00:00+00:00,0.372595012,0.393307,0.372595012,0.384315014,243039008,4%,0.027098,0.03858406,84255104.64
2018-02-13 00:00:00+00:00,0.383435994,0.387017995,0.359919995,0.373313993,225695008,-3%,0.030927986,-0.029042695,118679056.5
2018-02-14 00:00:00+00:00,0.373766005,0.401320994,0.370393008,0.396907985,299008992,6%,0.026749999,0.061284608,142600077.2
2018-02-15 00:00:00+00:00,0.394670993,0.416687012,0.389937013,0.409368008,348342016,3%,0.019728005,0.030910049,77701119.05
2018-02-16 00:00:00+00:00,0.410142004,0.412404001,0.392675996,0.403809994,192420000,-1%,0.02701801,-0.013670071,143354362.2
