Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2017-11-09 00:00:00+00:00,308.644989,329.4519958,307.0559998,320.8840027,893249984,,22.39599609,,2.8663E+11
2017-11-10 00:00:00+00:00,320.67099,324.7179871,294.5419922,299.2529907,885985984,-674%,30.17599487,-0.069790357,2.65134E+11
2017-11-11 00:00:00+00:00,298.5859985,319.4530029,298.1919861,314.6809998,842300992,516%,21.26101685,0.050270088,2.65056E+11
2017-11-12 00:00:00+00:00,314.6900024,319.1530151,298.5130005,307.9079895,1613479936,-215%,20.64001465,-0.021758424,4.96803E+11
2017-11-13 00:00:00+00:00,307.0249939,328.4150085,307.0249939,316.7160034,1041889984,286%,21.39001465,0.028204481,3.29983E+11
2017-11-14 00:00:00+00:00,316.7630005,340.177002,316.7630005,337.631012,1069680000,660%,23.41400146,0.063948135,3.61157E+11
2017-11-15 00:00:00+00:00,337.9639893,340.9119873,329.8129883,333.3569946,722665984,-127%,11.09899902,-0.012739647,2.40906E+11
2017-11-16 00:00:00+00:00,333.4429932,336.1589966,323.6059875,330.9240112,797254016,-73%,12.55300903,-0.007325196,2.6383E+11
2017-11-17 00:00:00+00:00,330.1669922,334.9639893,327.5230103,332.3940125,621732992,44%,7.440979004,0.004432274,2.0666E+11
2017-11-18 00:00:00+00:00,331.980011,349.6159973,327.6870117,347.6119995,649638976,458%,21.9289856,0.044765864,2.25822E+11
2017-11-19 00:00:00+00:00,347.401001,371.2909851,344.7399902,354.3859863,1181529984,195%,26.55099487,0.019299762,4.18718E+11
2017-11-20 00:00:00+00:00,354.0939941,372.1369934,353.2890015,366.730011,807027008,348%,18.84799194,0.034239236,2.95961E+11
2017-11-21 00:00:00+00:00,367.4429932,372.4700012,350.6929932,360.401001,949912000,-173%,21.77700806,-0.017408609,3.42349E+11
2017-11-22 00:00:00+00:00,360.3120117,381.4200134,360.1470032,380.6520081,800819008,562%,21.27301025,0.05466829,3.04833E+11
2017-11-23 00:00:00+00:00,381.4389954,425.5480042,376.0880127,410.1659851,1845680000,775%,49.45999146,0.074676326,7.57035E+11
2017-11-24 00:00:00+00:00,412.5010071,480.9729919,402.7579956,474.9110107,2292829952,1579%,78.21499634,0.146565521,1.08889E+12
2017-11-25 00:00:00+00:00,475.6759949,485.1919861,461.053009,466.276001,1422080000,-182%,24.13897705,-0.018349705,6.63082E+11
2017-11-26 00:00:00+00:00,465.973999,472.7229919,451.6059875,471.3299866,1197779968,108%,21.11700439,0.010780722,5.6455E+11
2017-11-27 00:00:00+00:00,471.5310059,493.4049988,468.4849854,480.355011,1396480000,191%,24.92001343,0.01896698,6.70806E+11
2017-11-28 00:00:00+00:00,480.5180054,482.480011,466.3469849,472.9020081,1346499968,-155%,16.13302612,-0.015637241,6.36763E+11
2017-11-29 00:00:00+00:00,473.2810059,522.3070068,425.0710144,427.5230103,2675940096,-960%,97.23599243,-0.100880084,1.14403E+12
2017-11-30 00:00:00+00:00,431.2149963,465.4970093,401.2430115,447.1140137,1903040000,458%,64.2539978,0.044805514,8.50876E+11
2017-12-01 00:00:00+00:00,445.2090149,472.6090088,428.3120117,466.5400085,1247879936,434%,44.29699707,0.042530154,5.82186E+11
2017-12-02 00:00:00+00:00,466.8510132,476.2390137,456.6530151,463.4490051,943649984,-66%,19.58599854,-0.006647422,4.37334E+11
2017-12-03 00:00:00+00:00,463.7049866,482.8139954,451.8519897,465.8529968,990556992,52%,30.96200562,0.005173769,4.61454E+11
2017-12-04 00:00:00+00:00,466.0539856,474.7770081,453.3120117,470.20401,1005550016,93%,21.46499634,0.009296537,4.72814E+11
2017-12-05 00:00:00+00:00,470.2940063,473.5580139,457.6600037,463.2810059,1216720000,-147%,15.89801025,-0.01483287,5.63683E+11
2017-12-06 00:00:00+00:00,462.6040039,462.7080078,420.2099915,428.5880127,1998259968,-749%,42.49801636,-0.07783768,8.5643E+11
2017-12-07 00:00:00+00:00,426.368988,441.3970032,414.4110107,434.4079895,2129570048,136%,26.98599243,0.013488046,9.25102E+11
2017-12-08 00:00:00+00:00,434.9890137,466.0620117,422.3670044,456.0310059,2336379904,498%,43.69500732,0.048576642,1.06546E+12
2017-12-09 00:00:00+00:00,457.3439941,504.1470032,456.2529907,473.5020142,2003849984,383%,47.89401245,0.037595364,9.48827E+11
2017-12-10 00:00:00+00:00,472.7890015,472.7890015,429.5140076,441.7210083,1404179968,-671%,43.2749939,-0.069477687,6.20256E+11
2017-12-11 00:00:00+00:00,440.3580017,516.9689941,439.1040039,515.1359863,1771440000,1662%,77.86499023,0.153752437,9.12532E+11
2017-12-12 00:00:00+00:00,522.2860107,657.3179932,504.493988,651.4310303,5179829760,2646%,152.8240051,0.234740611,3.3743E+12
2017-12-13 00:00:00+00:00,644.9060059,747.992981,597.7979736,702.7670288,4524539904,788%,150.1950073,0.075853913,3.1797E+12
2017-12-14 00:00:00+00:00,700.5939941,753.1209717,664.9890137,695.815979,3821580032,-99%,88.13195801,-0.009940214,2.65912E+12
2017-12-15 00:00:00+00:00,696.3759766,697.132019,621.0609741,684.447998,2758710016,-163%,76.07104492,-0.016472556,1.88819E+12
2017-12-16 00:00:00+00:00,686.1920166,718.3850098,680.7860107,696.2089844,2165690112,172%,37.59899902,0.017037209,1.50777E+12
2017-12-17 00:00:00+00:00,696.2369995,735.8250122,696.2369995,719.9749756,2147389952,341%,39.5880127,0.033566575,1.54607E+12
2017-12-18 00:00:00+00:00,721.7319946,803.9279785,689.2310181,794.6450195,3249230080,1037%,114.6969604,0.098679043,2.58198E+12
2017-12-19 00:00:00+00:00,793.901001,881.9439697,785.34198,826.822998,4096549888,405%,96.60198975,0.039695145,3.38712E+12
2017-12-20 00:00:00+00:00,827.5159912,845.0620117,756.0040283,819.0859985,3969939968,-94%,89.0579834,-0.00940156,3.25172E+12
2017-12-21 00:00:00+00:00,820.2360229,880.5430298,792.6890259,821.0629883,3569060096,24%,87.85400391,0.002410745,2.93042E+12
2017-12-22 00:00:00+00:00,822.6430054,827.6829834,543.7620239,674.8599854,4977710080,-1781%,283.9209595,-0.196094588,3.35926E+12
2017-12-23 00:00:00+00:00,681.315979,763.8950195,679.7310181,719.3870239,2480339968,660%,84.16400146,0.063894253,1.78432E+12
2017-12-24 00:00:00+00:00,721.7689819,721.7689819,614.9219971,694.1480103,2300549888,-351%,106.8469849,-0.035714285,1.59692E+12
2017-12-25 00:00:00+00:00,698.8699951,782.5209961,698.8699951,765.8339844,2491760128,1033%,83.65100098,0.098280207,1.90827E+12
2017-12-26 00:00:00+00:00,763.3699951,786.789978,760.9349976,773.8359985,2201159936,104%,25.85498047,0.010394547,1.70334E+12
2017-12-27 00:00:00+00:00,774.9699707,789.2529907,738.4130249,762.84198,2100029952,-142%,50.83996582,-0.014309057,1.60199E+12
2017-12-28 00:00:00+00:00,762.2080078,763.3189697,701.1870117,737.0230103,2389149952,-338%,62.13195801,-0.034431793,1.76086E+12
2017-12-29 00:00:00+00:00,740.3889771,770.1170044,729.6079712,753.59198,2648969984,225%,40.5090332,0.022231968,1.99624E+12
2017-12-30 00:00:00+00:00,753.8150024,753.8150024,685.2310181,717.257019,3187780096,-482%,68.58398438,-0.04941684,2.28646E+12
2017-12-31 00:00:00+00:00,712.2119751,760.3480225,710.1190186,756.7329712,2554269952,550%,50.22900391,0.053576204,1.9329E+12
2018-01-01 00:00:00+00:00,755.757019,782.5300293,742.0040283,772.6409912,2595760128,210%,40.52600098,0.02080406,2.00559E+12
2018-01-02 00:00:00+00:00,772.3460083,914.8300171,772.3460083,884.4439697,5783349760,1447%,142.4840088,0.13514466,5.11505E+12
2018-01-03 00:00:00+00:00,886,974.4710083,868.4509888,962.7199707,5093159936,885%,106.0200195,0.084803416,4.90329E+12
2018-01-04 00:00:00+00:00,961.7130127,1045.079956,946.0859985,980.9219971,6502859776,189%,98.99395752,0.018730362,6.3788E+12
2018-01-05 00:00:00+00:00,975.75,1075.390015,956.3250122,997.7199707,6683149824,171%,119.0650024,0.016979704,6.66791E+12
2018-01-06 00:00:00+00:00,995.1539917,1060.709961,994.6220093,1041.680054,4662219776,441%,66.08795166,0.043117479,4.85654E+12
2018-01-07 00:00:00+00:00,1043.01001,1153.170044,1043.01001,1153.170044,5569880064,1070%,110.1600342,0.101679864,6.42302E+12
2018-01-08 00:00:00+00:00,1158.26001,1266.930054,1016.049988,1148.530029,8450970112,-40%,250.8800659,-0.004031821,9.70619E+12
2018-01-09 00:00:00+00:00,1146,1320.97998,1145.48999,1299.73999,7965459968,1317%,175.4899902,0.123681348,1.0353E+13
2018-01-10 00:00:00+00:00,1300.339966,1417.380005,1226.599976,1255.819946,9214950400,-338%,190.7800293,-0.034375534,1.15723E+13
2018-01-11 00:00:00+00:00,1268.089966,1337.300049,1135.170044,1154.930054,7235899904,-803%,202.1300049,-0.08374892,8.35696E+12
2018-01-12 00:00:00+00:00,1158.290039,1296.040039,1120.089966,1273.199951,5222300160,1024%,175.9500732,0.097493595,6.64903E+12
2018-01-13 00:00:00+00:00,1270.469971,1432.880005,1270.469971,1396.420044,5746760192,968%,162.4100342,0.092378472,8.02489E+12
2018-01-14 00:00:00+00:00,1397.47998,1400.560059,1286.209961,1366.77002,4841630208,-212%,114.3500977,-0.021461544,6.6174E+12
2018-01-15 00:00:00+00:00,1365.209961,1390.589966,1290.599976,1291.920044,4781100032,-548%,99.98999023,-0.056320788,6.1768E+12
2018-01-16 00:00:00+00:00,1292.630005,1292.630005,875.5449829,1053.689941,8405139968,-1844%,417.085022,-0.203831284,8.85641E+12
2018-01-17 00:00:00+00:00,1061.339966,1090.22998,780.9219971,1014.25,8545160192,-374%,309.3079834,-0.03814881,8.66693E+12
2018-01-18 00:00:00+00:00,1016.440002,1100.310059,967.7589722,1036.280029,5938319872,217%,132.5510864,0.021487983,6.15376E+12
2018-01-19 00:00:00+00:00,1028.819946,1093.219971,1003.710022,1039.099976,4084450048,27%,89.50994873,0.002717525,4.24415E+12
2018-01-20 00:00:00+00:00,1044.949951,1167.109985,1044.949951,1155.150024,3975190016,1117%,122.1600342,0.105875296,4.59194E+12
2018-01-21 00:00:00+00:00,1155.680054,1155.680054,1021.5,1049.579956,3378089984,-914%,134.1800537,-0.095840185,3.54558E+12
2018-01-22 00:00:00+00:00,1055.349976,1089.099976,930.7410278,1003.26001,3810099968,-441%,158.3589478,-0.045135335,3.82252E+12
2018-01-23 00:00:00+00:00,1004.169983,1023.22998,920.539978,986.2290039,3556699904,-170%,102.6900024,-0.017121403,3.50772E+12
2018-01-24 00:00:00+00:00,987.4769897,1062.439941,965.8079834,1058.780029,3944039936,736%,96.63195801,0.070984025,4.17587E+12
2018-01-25 00:00:00+00:00,1063.219971,1104.660034,1034.73999,1056.030029,4050190080,-26%,69.92004395,-0.002600708,4.27712E+12
2018-01-26 00:00:00+00:00,1052.699951,1080.599976,996.7839966,1055.170044,3617690112,-8%,83.815979,-0.000814689,3.81728E+12
2018-01-27 00:00:00+00:00,1055.75,1121.97998,1042.119995,1107.069946,3002870016,492%,79.85998535,0.048014904,3.32439E+12
2018-01-28 00:00:00+00:00,1111.780029,1257.77002,1111.780029,1246.01001,5372329984,1255%,145.9899902,0.118229617,6.69398E+12
2018-01-29 00:00:00+00:00,1246.699951,1256.699951,1169.079956,1182.359985,3715079936,-511%,87.61999512,-0.052434025,4.39256E+12
2018-01-30 00:00:00+00:00,1184.130005,1184.630005,1058.969971,1071.130005,4107859968,-941%,125.6600342,-0.098798258,4.40005E+12
2018-01-31 00:00:00+00:00,1071.089966,1128.660034,1034.5,1118.310059,3757560064,440%,94.16003418,0.043104499,4.20212E+12
2018-02-01 00:00:00+00:00,1119.369995,1161.349976,984.8189697,1036.790039,5261680128,-729%,176.5310059,-0.07568923,5.45526E+12
2018-02-02 00:00:00+00:00,1035.77002,1035.77002,757.9799805,915.7849731,6713290240,-1167%,277.7900391,-0.124103127,6.14793E+12
2018-02-03 00:00:00+00:00,919.2109985,991.9429932,847.6900024,964.0189819,3243480064,527%,144.2529907,0.051329394,3.12678E+12
