Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2018-10-08 00:00:00+00:00,1.004099965,1.007680058,1.001899958,1.002210021,382900,,0.0057801,,383746.217
2018-10-09 00:00:00+00:00,1.004269958,1.008329988,1.000030041,1.006860018,108803,46%,0.008299947,0.004629013,109549.3905
2018-10-10 00:00:00+00:00,1.004940033,1.019080043,1.003970027,1.009619951,711783,27%,0.015110016,0.002737379,718630.3176
2018-10-11 00:00:00+00:00,1.009940028,1.031229973,1.001729965,1.009780049,4177290,2%,0.029500008,0.00015856,4218144.101
2018-10-12 00:00:00+00:00,1.00861001,1.018710017,1.001139998,1.012719989,1322240,29%,0.017570019,0.002907236,1339058.878
2018-10-13 00:00:00+00:00,1.014449954,1.020290017,1.003550053,1.007429957,698507,-52%,0.016739964,-0.005237279,703696.877
2018-10-14 00:00:00+00:00,1.007259965,1.022510052,1.004920006,1.016309977,982750,88%,0.017590046,0.008775907,998778.6299
2018-10-15 00:00:00+00:00,1.016899943,1.113729954,0.998372018,1.026800036,10660400,103%,0.115357936,0.010268807,10946099.1
2018-10-16 00:00:00+00:00,1.027230024,1.035509944,1.01899004,1.021430016,2124080,-52%,0.016519904,-0.005243583,2169599.068
2018-10-17 00:00:00+00:00,1.024039984,1.026530027,1.010579944,1.012189984,1102740,-90%,0.015950083,-0.009087337,1116182.383
2018-10-18 00:00:00+00:00,1.014660001,1.020619988,1.009230018,1.014889956,1182450,27%,0.01138997,0.002663904,1200056.628
2018-10-19 00:00:00+00:00,1.014750004,1.01643002,1.006309986,1.006979942,715078,-78%,0.010120034,-0.007824494,720069.203
2018-10-20 00:00:00+00:00,1.007490039,1.013630033,1.002550006,1.00643003,299871,-5%,0.011080027,-0.000546249,301799.1795
2018-10-21 00:00:00+00:00,1.006819963,1.019610047,1.003200054,1.012899995,509276,64%,0.016409993,0.006408053,515845.6579
2018-10-22 00:00:00+00:00,1.012310028,1.024799943,1.003290057,1.009299994,1211160,-36%,0.021509886,-0.003560483,1222423.781
2018-10-23 00:00:00+00:00,1.009230018,1.017959952,1.007470012,1.010589957,1503840,13%,0.01048994,0.001277261,1519765.601
2018-10-24 00:00:00+00:00,1.009379983,1.012089968,1.002380013,1.010020018,923940,-6%,0.009709955,-0.000564126,933197.8954
2018-10-25 00:00:00+00:00,1.010460019,1.013689995,1.001899958,1.007969975,1365520,-20%,0.011790037,-0.002031768,1376403.16
2018-10-26 00:00:00+00:00,1.006109953,1.015519977,1.003520012,1.011630058,950623,36%,0.011999965,0.003624566,961678.8006
2018-10-27 00:00:00+00:00,1.012079954,1.014889956,1.001070023,1.008239985,712963,-34%,0.013819933,-0.003356727,718837.8044
2018-10-28 00:00:00+00:00,1.006620049,1.014960051,1.002730012,1.011070013,282707,28%,0.012230039,0.002802967,285836.5702
2018-10-29 00:00:00+00:00,1.010830045,1.019000053,1.00553,1.008370042,1983680,-27%,0.013470053,-0.002673981,2000283.485
